model,display_name,best_trial_id,primary_metric,split_count,ndcg_at_k_mean,ndcg_at_k_std,roi_at_k_mean,roi_at_k_std,recall_at_k_mean,recall_at_k_std,profile_coherence_at_k_mean,profile_coherence_at_k_std,profile_coherence_lift_at_k_mean,profile_coherence_lift_at_k_std
light_gcn,LightGCN,eb788_00006,average_ndcg,69,0.32950064297358045,0.07407182047246454,-0.005396658854443871,0.04297422032733008,0.4946414606356798,0.08369690579236905,0.7940119600505401,0.00794056810605602,1.170561424224297,0.018004302136634624
random_forest,Random Forest,df0bd_00008,average_roi,69,0.01897891264852793,0.01788846505595634,0.014222600453448447,0.03205523291342446,0.03570006960411619,0.03611315795664602,0.6667081748071968,0.04489433696613364,1.0598056077166547,0.07001301736439677
