model,display_name,total_recommendations,coherent_recommendations,discordant_recommendations,coherent_share,mean_monthly_return_overall,mean_monthly_return_coherent,mean_monthly_return_discordant,strict_coherent_recommendations,mean_monthly_return_strict_coherent,mean_monthly_return_strict_discordant
light_gcn,LightGCN,1372010,1089513,282497,0.7940998972310698,-0.007795309248388857,-0.008419207234269591,-0.00538910682397062,436950,-0.008729402159588978,-0.007358811165325849
random_forest,Random Forest,1372010,912015,459995,0.6647291200501454,0.013788322227528725,0.016707947879965945,0.007999688895845708,309024,0.01985377712841768,0.01202501477541524
